,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
5,5,170946,Cl1Cu1H3N1_170946.json,"['O', 'S', 'Se', 'F', 'Zn']","['N', 'N', 'N', 'N', 'Cu']","['O', 'S', 'O', 'O', 'Se']","['Cl', 'Cl', 'Cu', 'H', 'Cl']"
6,6,262708,Cd1O3Ti1_262708.json,"['F', 'Ta', 'Cl', 'Nb', 'Ge']","['O', 'Ti', 'O', 'Ti', 'Cd']","['Na', 'Na', 'Zn', 'Mn', 'Mg']","['Cd', 'Ti', 'Ti', 'Ti', 'Ti']"
7,7,8097,Ca1O4Te1_8097.json,"['F', 'La', 'Cl', 'Nd', 'Pr']","['O', 'Ca', 'O', 'Ca', 'Ca']","['Na', 'Re', 'K', 'Ir', 'Co']","['Ca', 'Te', 'Ca', 'Te', 'Te']"
11,11,423062,P2S7_423062.json,"['S', 'Mn', 'Br', 'Cr', 'Cl']","['P', 'P', 'P', 'P', 'P']","['C', 'B', 'Si', 'Be', 'Al']","['P', 'P', 'P', 'P', 'P']"
17,17,15913,O2Sr1Zn1_15913.json,"['F', 'La', 'Si', 'Ge', 'Cl']","['O', 'Sr', 'Zn', 'Zn', 'O']","['Cs', 'Rb', 'K', 'Na', 'Cu']","['Sr', 'Sr', 'Sr', 'Zn', 'Zn']"
19,19,30503,Ag2H1O4P1_30503.json,"['F', 'Cl', 'In', 'Ga', 'Cr']","['O', 'O', 'Ag', 'Ag', 'P']","['Si', 'O', 'Ge', 'O', 'N']","['P', 'Ag', 'P', 'H', 'Ag']"
22,22,170857,Ba1Cu2Se4Sn1_170857.json,"['Zn', 'Hg', 'Ta', 'Cu', 'La']","['Cu', 'Cu', 'Sn', 'Cu', 'Ba']","['Cs', 'Rb', 'K', 'N', 'Co']","['Ba', 'Ba', 'Ba', 'Se', 'Sn']"
24,24,406358,F4H1P1_406358.json,"['P', 'Ba', 'Na', 'Li', 'Sr']","['P', 'H', 'F', 'F', 'H']","['O', 'Zn', 'Tl', 'O', 'N']","['F', 'P', 'P', 'H', 'F']"
26,26,642996,Mn1Na6S4_642996.json,"['Ca', 'Sb', 'Er', 'W', 'Ho']","['Na', 'Na', 'Na', 'Na', 'Na']","['Na', 'N', 'Li', 'O', 'F']","['Mn', 'S', 'Mn', 'Mn', 'Na']"
29,29,166533,Ca2I1P1_166533.json,"['Ca', 'Ce', 'Pr', 'Ce', 'Pr']","['I', 'Ca', 'Ca', 'I', 'I']","['Na', 'Ag', 'Hg', 'Li', 'F']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
