i,j,formula,eigvals,dopant_options
1,1,H215Cl71Cu72N71O2,"[0.        +0.00449489j 0.        +0.00232397j 0.        +0.00229544j ...
 0.42168622+0.j         0.42203897+0.j         0.42241558+0.j        ]","{'Se', 'Zn', 'F', 'O', 'S'}"
1,2,H208Cl71Cu71N68O8SSe,"[0.        +0.00453798j 0.        +0.00377079j 0.        +0.00364468j ...
 0.4231181 +0.j         0.42601561+0.j         0.49016747+0.j        ]","{'Se', 'Zn', 'F', 'O', 'S'}"
7,1,Ba53Cu104NSe212Sn53Zn,"[0.        +1.54034010e-03j 0.        +7.85227095e-06j
 0.        +5.10643827e-06j ... 0.04917694+0.00000000e+00j
 0.05629128+0.00000000e+00j 0.06529753+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,1,Ba53Cu104N2Se209Sn51Zn2,"[0.00000000e+00+6.30801459e-06j 0.00000000e+00+4.03016455e-06j
 4.00431692e-06+0.00000000e+00j ... 5.66873689e-02+0.00000000e+00j
 7.11852538e-02+0.00000000e+00j 8.15864911e-02+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,2,Ba54Cu107N5Se209Sn54,"[0.00000000e+00+9.2225982e-06j 3.21716004e-06+0.0000000e+00j
 9.96949438e-06+0.0000000e+00j ... 6.91261838e-02+0.0000000e+00j
 7.11316023e-02+0.0000000e+00j 7.35675215e-02+0.0000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,2,Ba52CoCu108N4Se206Sn53,"[0.00000000e+00+5.63607557e-06j 2.47350115e-06+0.00000000e+00j
 9.03697970e-06+0.00000000e+00j ... 6.90164634e-02+0.00000000e+00j
 7.98782791e-02+0.00000000e+00j 8.52346251e-02+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,3,Ba53CsCu105N7Se205Sn52Zn,"[0.        +2.21795115e-03j 0.        +1.18761210e-05j
 0.        +8.76616995e-06j ... 0.07150284+0.00000000e+00j
 0.07675347+0.00000000e+00j 0.07931357+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
7,3,Ba54Co2Cu102N7Se206Sn50Zn,"[0.00000000e+00+1.94037310e-03j 0.00000000e+00+1.07019443e-05j
 1.30137154e-06+0.00000000e+00j ... 7.32229317e-02+0.00000000e+00j
 7.53073645e-02+0.00000000e+00j 7.57764116e-02+0.00000000e+00j]","{'Cs', 'K', 'Hg', 'Zn', 'Ta', 'Rb', 'La', 'Cu', 'N', 'Co'}"
9,1,Mn36NNa214S142,"[0.00000000e+00+1.65955588e-05j 6.94890783e-06+0.00000000e+00j
 2.18610687e-05+0.00000000e+00j ... 3.66764555e-02+0.00000000e+00j
 3.70146184e-02+0.00000000e+00j 1.03914108e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,1,FMn35N2Na210S138Sb,"[0.00000000e+00+2.08462169e-05j 0.00000000e+00+1.30292687e-05j
 1.83810883e-05+0.00000000e+00j ... 5.29215863e-02+0.00000000e+00j
 7.26764198e-02+0.00000000e+00j 9.84106287e-02+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,1,Mn34N5Na209S137Sb2,"[0.00000000e+00+1.29387808e-05j 1.10228529e-05+0.00000000e+00j
 1.82462518e-05+0.00000000e+00j ... 1.00699407e-01+0.00000000e+00j
 1.01198173e-01+0.00000000e+00j 1.02398692e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,2,CaMn34N2Na208OS140Sb2,"[0.00000000e+00+2.41447405e-05j 0.00000000e+00+1.36874781e-05j
 1.31790096e-05+0.00000000e+00j ... 9.09516444e-02+0.00000000e+00j
 9.98988627e-02+0.00000000e+00j 1.02941432e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,2,Mn35NNa208S141,"[0.00000000e+00+6.82216732e-05j 0.00000000e+00+1.73478004e-05j
 9.80508888e-06+0.00000000e+00j ... 3.84679614e-02+0.00000000e+00j
 3.89731383e-02+0.00000000e+00j 1.01324312e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,2,Ca2F2Mn34N3Na205S138Sb2,"[0.00000000e+00+3.08414689e-03j 0.00000000e+00+1.18002795e-05j
 1.96451269e-05+0.00000000e+00j ... 7.37611829e-02+0.00000000e+00j
 9.61223383e-02+0.00000000e+00j 1.01612599e-01+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,3,LiMn34N3Na214S140,"[0.00000000e+00+2.2152347e-05j 1.75624432e-05+0.0000000e+00j
 2.61204005e-05+0.0000000e+00j ... 9.85598208e-02+0.0000000e+00j
 9.97572422e-02+0.0000000e+00j 1.02898356e-01+0.0000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,3,F2Mn35N3Na208S137,"[0.        +3.26754648e-03j 0.        +9.28860231e-04j
 0.        +1.70153517e-05j ... 0.09385942+0.00000000e+00j
 0.09517422+0.00000000e+00j 0.09633914+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
9,3,Mn36NNa211S142,"[0.00000000e+00+1.85395733e-05j 9.64059956e-06+0.00000000e+00j
 1.60188797e-05+0.00000000e+00j ... 3.85931443e-02+0.00000000e+00j
 4.07995436e-02+0.00000000e+00j 9.87011827e-02+0.00000000e+00j]","{'Na', 'Li', 'N', 'W', 'Ho', 'F', 'Ca', 'O', 'Er', 'Sb'}"
13,1,Ge70NNa143SbSe176,"[0.00000000e+00+1.30452339e-05j 1.03854562e-05+0.00000000e+00j
 1.45174912e-05+0.00000000e+00j ... 3.22275070e-02+0.00000000e+00j
 3.48690838e-02+0.00000000e+00j 8.74815223e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,1,FGe72NNa142Se178,"[0.00000000e+00+9.94048812e-06j 5.45327727e-06+0.00000000e+00j
 1.37701854e-05+0.00000000e+00j ... 4.30120175e-02+0.00000000e+00j
 6.93625802e-02+0.00000000e+00j 9.24821727e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,2,Ge70N2Na142Se177,"[0.00000000e+00+1.25116837e-05j 5.13250618e-06+0.00000000e+00j
 1.40253767e-05+0.00000000e+00j ... 5.38489273e-02+0.00000000e+00j
 6.48796394e-02+0.00000000e+00j 7.49015022e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,2,ClGe72Na136OSe175,"[0.00000000e+00+1.16429693e-05j 0.00000000e+00+7.54668970e-06j
 9.55794002e-06+0.00000000e+00j ... 3.22707649e-02+0.00000000e+00j
 3.26230697e-02+0.00000000e+00j 7.14748834e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,3,Ca2Ge68Na139Se178,"[0.00000000e+00+1.06646901e-05j 1.13421002e-05+0.00000000e+00j
 1.41331891e-05+0.00000000e+00j ... 3.08152475e-02+0.00000000e+00j
 3.12626266e-02+0.00000000e+00j 3.12872488e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
13,3,Ca2Ge71N2Na140OSe174,"[0.00000000e+00+1.40551032e-05j 0.00000000e+00+9.61443128e-06j
 9.30256186e-06+0.00000000e+00j ... 8.44861718e-02+0.00000000e+00j
 8.56523916e-02+0.00000000e+00j 8.70281527e-02+0.00000000e+00j]","{'W', 'Ho', 'N', 'Cl', 'Ca', 'F', 'O', 'Er', 'Sb'}"
15,1,Al2F4N211Si159Zn,"[0.00000000e+00+4.78964747e-03j 0.00000000e+00+6.09232114e-05j
 9.05654651e-06+0.00000000e+00j ... 1.41553457e-01+0.00000000e+00j
 1.42272556e-01+0.00000000e+00j 1.43231874e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,1,FLiN209OS2SeSi159,"[0.00000000e+00+4.55869799e-05j 3.05654870e-05+0.00000000e+00j
 5.16240552e-05+0.00000000e+00j ... 1.40816784e-01+0.00000000e+00j
 1.42492060e-01+0.00000000e+00j 1.43242538e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,1,AlBe3FN212SeSi152,"[0.        +1.51301444e-03j 0.        +5.56628615e-05j
 0.        +4.42639043e-05j ... 0.13494524+0.00000000e+00j
 0.13631381+0.00000000e+00j 0.13679833+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,2,BeLi2N207SeSi159,"[0.00000000e+00+5.24805474e-05j 1.81219374e-05+0.00000000e+00j
 5.70947536e-05+0.00000000e+00j ... 1.34310638e-01+0.00000000e+00j
 1.37588657e-01+0.00000000e+00j 1.43981174e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,2,AlN211SeSi160,"[0.00000000e+00+3.3302283e-05j 2.28685788e-05+0.0000000e+00j
 5.91502535e-05+0.0000000e+00j ... 1.38322605e-01+0.0000000e+00j
 1.38350356e-01+0.0000000e+00j 1.41364268e-01+0.0000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,2,AlFLiN204O3SSi157,"[0.00000000e+00+1.99735327e-05j 1.07448810e-05+0.00000000e+00j
 3.82671142e-05+0.00000000e+00j ... 1.37466369e-01+0.00000000e+00j
 1.40339284e-01+0.00000000e+00j 1.44458337e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,3,BeFLiMgN206SSe2Si155,"[0.00000000e+00+5.91241804e-05j 4.71399752e-05+0.00000000e+00j
 6.34650036e-05+0.00000000e+00j ... 1.41294563e-01+0.00000000e+00j
 1.49354391e-01+0.00000000e+00j 1.63058438e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,3,FLiN203OSe6Si156Zn,"[0.00000000e+00+3.88825983e-05j 0.00000000e+00+3.08637374e-05j
 4.34998873e-05+0.00000000e+00j ... 1.55171306e-01+0.00000000e+00j
 1.57429982e-01+0.00000000e+00j 1.61004437e-01+0.00000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
15,3,Be2FMg2N206O2SSeSi153,"[0.00000000e+00+5.1856916e-05j 2.49700359e-05+0.0000000e+00j
 6.28197063e-05+0.0000000e+00j ... 1.44305056e-01+0.0000000e+00j
 1.44948361e-01+0.0000000e+00j 1.54236041e-01+0.0000000e+00j]","{'Se', 'Zn', 'Mg', 'S', 'Li', 'Be', 'F', 'O', 'Al'}"
18,1,Cd35I207In139NaOSbSe,"[0.00000000e+00+9.77478197e-04j 0.00000000e+00+7.11511266e-06j
 2.59662293e-06+0.00000000e+00j ... 2.72438753e-02+0.00000000e+00j
 3.41707919e-02+0.00000000e+00j 3.61901802e-02+0.00000000e+00j]","{'Se', 'Pb', 'La', 'Yb', 'Na', 'Cl', 'O', 'Ce', 'S', 'Sb'}"
